GEOID,med_age_E,pop_dens,covid_rate,type,majority_vote
19137,44.2,24.35764435507933,0.07454017424975799,Non-core,Republican
19139,38.1,98.83529887959602,0.08319648432982538,Micropolitan,Republican
19143,44,15.53099215420341,0.09948320413436693,Non-core,Republican
19145,44.1,28.434773813921588,0.0903293669055289,Non-core,Republican
19149,40,29.783443547539452,0.1310996964744338,Small metro,Republican
19153,35.5,860.5199986903264,0.08478658654226941,Medium metro,Democrat
19155,39.7,98.54384727980013,0.089497902142697,Medium metro,Republican
19159,44,8.707789131696828,0.07870469654728715,Non-core,Republican
19161,46.1,17.06717245164833,0.10648053800692887,Non-core,Republican
19165,46.4,19.88222386880333,0.08147454452579601,Non-core,Republican
19167,33.4,46.7135606271219,0.12168264942016058,Non-core,Republican
19171,42.6,23.765233131443924,0.10294718412605777,Non-core,Republican
18043,39.8,543.939616450877,0.0653546046419164,Large fringe metro,Republican
18035,35.6,285.3934874831886,0.06916704645988044,Small metro,Republican
18039,35.6,447.02191746673213,0.11054494873144745,Small metro,Republican
18041,42.8,108.81733271112881,0.09526455252585692,Micropolitan,Republican
18045,43.4,41.64859734529166,0.09448388858547242,Non-core,Republican
18047,42.2,59.2702111395696,0.05481676541584376,Non-core,Republican
18049,41.3,55.59281239464228,0.0693359375,Non-core,Republican
18051,40.3,67.72571952566625,0.09363545484838387,Non-core,Republican
18053,40.3,161.01386304285387,0.07613162552119267,Micropolitan,Republican
18055,43.1,56.78314376913255,0.06408466707788202,Non-core,Republican
18057,37.1,881.1191433667306,0.07054195074640182,Large fringe metro,Republican
18059,39.8,260.95203337452733,0.06658316633266533,Large fringe metro,Republican
18061,42.3,81.84257780634499,0.06965249407373783,Large fringe metro,Republican
18063,37.7,429.5669249006065,0.06791656177769641,Large fringe metro,Republican
18065,42.1,124.81891119214046,0.08874759782475365,Micropolitan,Republican
18067,41.7,285.44994231595336,0.08146262162614454,Small metro,Republican
18069,40.7,95.8110102174426,0.06840870656265342,Micropolitan,Republican
18071,38.5,91.03989604044841,0.08212716464202637,Micropolitan,Republican
18073,40.3,58.81578400986687,0.07609818336472447,Large fringe metro,Republican
18075,39.7,53.34128206391109,0.07422599863267897,Non-core,Republican
18077,40.8,91.91177901321714,0.06634084532536881,Micropolitan,Republican
18079,39.8,73.32236767922045,0.06236193097454098,Micropolitan,Republican
18081,37.5,504.8153574897373,0.07693876920223781,Large fringe metro,Republican
18083,37.9,70.31118697636715,0.08150046855189902,Micropolitan,Republican
18087,31.1,106.54067587759464,0.051080452949611825,Non-core,Republican
18089,39.1,999.8213676952587,0.08145377982755163,Large fringe metro,Democrat
18093,43.1,100.20736241067289,0.07478172002399414,Micropolitan,Republican
18095,40.4,287.94695019648793,0.07037631888356938,Large fringe metro,Republican
18099,40,103.90654587028462,0.09981559822106519,Micropolitan,Republican
18101,42.7,29.22321087883012,0.06237260497350183,Non-core,Republican
18105,29.6,354.1451383854963,0.058195794385834325,Small metro,Democrat
18107,40.2,75.1733088352521,0.07689266132433573,Micropolitan,Republican
18111,43.1,34.423992813564844,0.060375994215473607,Large fringe metro,Republican
18113,38.7,115.51098570063232,0.0869840065743726,Micropolitan,Republican
18117,42.4,49.869711682120226,0.06412644083152967,Non-core,Republican
18119,45.2,55.33670160560644,0.06373997467285775,Small metro,Republican
18123,42,50.21741019032783,0.06411058946270214,Non-core,Republican
18125,43.7,36.64347489213955,0.07779591836734694,Micropolitan,Republican
18129,42.6,61.611967123451905,0.07798747125525335,Medium metro,Republican
18133,37.9,76.42694954717203,0.06820780918150629,Large fringe metro,Republican
18135,42.6,54.16252445207986,0.0762794873887846,Non-core,Republican
18139,41.7,41.04638385589888,0.07402101241642789,Non-core,Republican
18141,36.6,596.0155278341489,0.09027818490942136,Medium metro,Democrat
18145,40.8,109.58594662452207,0.07743868605038287,Large fringe metro,Republican
18147,44,49.92845451205552,0.07804139323573953,Non-core,Republican
18151,43.7,111.5205367502367,0.07866995789167998,Micropolitan,Republican
18153,41,46.55252898732276,0.08156794927222943,Small metro,Republican
18157,28.2,373.3180057022462,0.08221163913213889,Small metro,Democrat
18159,45.1,58.95045692358106,0.0722052216941207,Non-core,Republican
18163,38.3,770.8811899521455,0.08878291957187902,Medium metro,Republican
18165,42.9,60.10567932665738,0.08336032126433059,Small metro,Republican
18169,42.3,75.08644621333188,0.08513042355371901,Micropolitan,Republican
18171,44.4,23.142914381183186,0.06587677725118483,Non-core,Republican
18175,41.6,54.86173967405224,0.05219643744233908,Large fringe metro,Republican
18177,40.6,165.65591033395333,0.08002644508887653,Micropolitan,Republican
18181,42,48.87356626119461,0.0965246273493195,Non-core,Republican
18183,41.8,101.8857737997541,0.07382059606329151,Medium metro,Republican
25003,47.1,139.20508188524087,0.02311162091361431,Small metro,Democrat
25005,41,1047.1723509042877,0.06167299723756906,Large fringe metro,Democrat
08011,40.2,3.734680941516543,0.2015929203539823,Non-core,Republican
02240,36.8,0.2742641558634434,0.059782608695652176,Non-core,NA
02290,35.2,0.03670260229264212,0.03911660116039678,Non-core,NA
08005,36.6,820.9311757144758,0.05885935854183522,Large fringe metro,Democrat
08015,49.2,19.21831323979772,0.055504210310125285,Non-core,Democrat
08019,48.1,23.785485374837105,0.030222411407896138,Large fringe metro,Democrat
08025,35.4,7.520692346122844,0.28031070584262074,Non-core,Republican
08031,34.5,4667.702366379591,0.0674276961435148,Large central metro,Democrat
08079,56.1,0.9877130551335969,0.05086705202312139,Non-core,Republican
08083,45.2,12.73758175661492,0.04858988742311115,Non-core,Republican
08089,39.9,14.81046261189872,0.0884430176565008,Non-core,Republican
08095,37.1,6.584992799865202,0.06335540838852097,Non-core,Republican
08101,39.3,70.47573753841775,0.0795363994243646,Small metro,Democrat
08105,42.1,12.653017938188666,0.03423173585232689,Non-core,Republican
08111,51.2,1.8192818235185368,0.03829787234042553,Non-core,Democrat
08117,39.1,51.04884407614692,0.0697794236032845,Micropolitan,Democrat
08123,34.4,82.55630311433362,0.06146859545080111,Medium metro,Republican
10001,37.7,310.2941072710898,0.0521800814952901,Small metro,Democrat
30001,43,1.6906963825777683,0.08238181624159642,Non-core,Republican
30007,47.3,5.681174511013864,0.04399173309713611,Non-core,Republican
30013,38.3,31.28560647387785,0.0786362451726017,Small metro,Republican
30017,41.4,3.136672685217853,0.0831718210162636,Non-core,Republican
30023,48.6,12.788410189760848,0.09001167604288292,Non-core,Democrat
30029,42.2,20.513652213268276,0.08487212165930412,Micropolitan,Republican
30035,31.9,4.600416600165712,0.09653070111772391,Non-core,Democrat
30039,54.3,1.9158596930744303,0.05016621335750982,Non-core,Republican
30045,51.7,1.0819993806739003,0.03806228373702422,Non-core,Republican
30051,46.5,1.3699462766645933,0.0515569167942828,Non-core,Republican
30057,53,2.4031834652175332,0.05972399396961614,Non-core,Republican
30061,51.7,3.71837312610913,0.03902976846747519,Non-core,Republican
30067,46.3,6.134230725378235,0.050956896050258854,Non-core,Republican
30073,40.7,3.630506567785183,0.06561546286876907,Non-core,Republican
13009,35.5,169.30481527860834,0.07463640722390923,Micropolitan,Democrat
13015,38.1,237.30411676712467,0.07470087510674833,Large fringe metro,Republican
13019,39.6,40.055080158933954,0.06360132158590308,Non-core,Republican
13025,41.1,40.65874509139121,0.059208700959991124,Small metro,Republican
13031,28.8,119.97761835281986,0.05520413321989174,Micropolitan,Republican
13037,39.6,19.876304937853707,0.06692984030145344,Non-core,Democrat
13043,38.7,45.178265235966236,0.06474820143884892,Non-core,Republican
13049,41.2,16.04693133767836,0.08268093944719604,Non-core,Republican
13055,39.4,79.67722199218807,0.0741438013218506,Micropolitan,Republican
13061,49.8,14.574936360730524,0.06425561797752809,Non-core,Democrat
13065,39.9,8.281025273449224,0.09705141502444807,Non-core,Republican
13071,36.8,83.90294954192504,0.06963266373262451,Micropolitan,Republican
13077,39,331.47403912241737,0.05829308009140793,Large fringe metro,Republican
13081,38.5,73.81558110862112,0.07034976152623211,Micropolitan,Republican
13087,37.8,49.17680568450634,0.06943167500936426,Micropolitan,Republican
13093,43.2,28.54591378610287,0.0612062812276945,Non-core,Republican
13097,36.5,720.6877287494792,0.05920117584253694,Large fringe metro,Democrat
13103,36,135.2683248146886,0.04202627800336581,Medium metro,Republican
13109,37.6,58.908236980964126,0.062279561908297754,Non-core,Republican
13115,38.3,193.36922106835158,0.07991154751278098,Small metro,Republican
13119,41.2,89.55445248555156,0.07876536885245902,Non-core,Republican
13125,42.7,20.06323088095438,0.06310679611650485,Non-core,Republican
13131,40.3,57.724800570554834,0.0509986278396097,Non-core,Republican
13137,39.7,166.28037896416444,0.08157546001607613,Micropolitan,Republican
13141,45.6,18.543008164168175,0.07853463079564968,Micropolitan,Democrat
01039,43.3,36.45596127669724,0.07846686185786532,Non-core,Republican
01045,37.3,87.90932862791472,0.06901025828163646,Micropolitan,Republican
19185,43.2,12.363689885327366,0.05941203632445744,Non-core,Republican
19175,40.3,28.65133955583715,0.08526940187839842,Non-core,Republican
19177,45.4,14.857435805688478,0.06358461752047757,Non-core,Republican
19181,38.3,91.96125744190248,0.0733927446901895,Medium metro,Republican
19187,39,51.695613067749406,0.12046271520851914,Micropolitan,Republican
19191,41.5,29.09387811426402,0.06940707523667165,Non-core,Republican
19193,35.8,121.36722549307447,0.11676310399184452,Small metro,Republican
19197,43.5,22.299547366962326,0.11836513945762188,Non-core,Republican
24003,38.3,1418.1447500885636,0.042741232208152506,Large fringe metro,Democrat
24005,39.4,1428.1287167870883,0.04604960592602995,Large fringe metro,Democrat
24011,39.7,104.22245468323129,0.040849427807647255,Non-core,Republican
24013,42.4,386.2375531848275,0.03073034455234801,Large fringe metro,Republican
24017,38.4,363.95395048559277,0.03709105313383388,Large fringe metro,Democrat
24019,44.6,60.15742013385378,0.042943653745657985,Micropolitan,Republican
24023,46.2,44.37992346843525,0.051794764979518154,Non-core,Republican
24025,40.9,596.9096063622306,0.03368413790988947,Large fringe metro,Republican
24029,48.1,69.29819179387219,0.03974372330451088,Non-core,Democrat
24033,37.1,2003.9315034486847,0.05758265345052373,Large fringe metro,Democrat
24035,44.4,134.181635939625,0.034587159642298596,Large fringe metro,Republican
24039,36.2,76.99797045904621,0.07485783915515841,Medium metro,Republican
24041,50.5,139.73153538460377,0.03253744070777594,Micropolitan,Democrat
24043,40.5,337.9555975683691,0.05538282537733105,Medium metro,Republican
24045,36.1,276.66221201477407,0.04651117890103101,Medium metro,Democrat
24047,50.4,111.99786200674298,0.042870758673274875,Medium metro,Republican
24510,35.4,7235.724957208067,0.0548601009376686,Large central metro,Democrat
26001,58.2,15.06991740389125,0.03383495623094325,Non-core,Republican
26003,49.5,9.663035973677161,0.036304003619090704,Non-core,Republican
26005,39.8,146.0182275127014,0.04867139134620172,Micropolitan,Republican
26007,48.1,50.54850424724708,0.04054381291728647,Micropolitan,Republican
26009,51.3,49.25801934840935,0.02833852588451197,Non-core,Republican
26011,50,41.30752624278833,0.04072790294627383,Non-core,Republican
26013,45.5,9.080318257564961,0.06839911743074283,Non-core,Republican
26015,42.5,112.86134066362197,0.04825144578120244,Large fringe metro,Republican
26017,43.4,234.84025371618583,0.06121938068094284,Small metro,Republican
26019,50.2,56.20926954194594,0.03856427378964942,Micropolitan,Republican
26021,42.1,271.7883070216346,0.06088156769226782,Small metro,Republican
26023,41.2,88.58764717135243,0.07021532700280861,Micropolitan,Republican
26025,39.8,190.170617728686,0.05861812225448589,Small metro,Republican
26027,45.2,105.26105371810027,0.062377638643896956,Medium metro,Republican
26029,48.6,62.58022071087364,0.03258616719121824,Non-core,Republican
26033,40.5,23.602711429129574,0.039418241130895745,Micropolitan,Republican
26035,47.2,54.67377740838998,0.04018667358050298,Non-core,Republican
26039,50.8,23.34278238087414,0.03718817369879889,Non-core,Republican
26043,46.7,34.09827599355081,0.08478822214514202,Micropolitan,Republican
26045,40.9,189.80275258934333,0.0440577055186627,Medium metro,Democrat
26049,40.5,637.7590848328273,0.053718387734453275,Medium metro,Democrat
26051,50.1,50.59126167308503,0.04766406680847712,Non-core,Republican
26055,42.8,205.10572646361732,0.03288603288603289,Micropolitan,Republican
26057,39.5,73.47365789323369,0.057206484519048875,Micropolitan,Republican
26061,33,37.02406136868392,0.053317630684403525,Micropolitan,Republican
26065,32,512.3520042946969,0.04520884520884521,Medium metro,Democrat
26067,38.7,116.92930355440659,0.05210765822405844,Micropolitan,Republican
26071,54.3,9.975151301837265,0.070673200928553,Non-core,Republican
26073,28.1,112.43959294690664,0.05393359629779172,Micropolitan,Republican
26077,34.4,465.6208713204781,0.04752933083654985,Medium metro,Democrat
26079,44.4,32.04860542847271,0.027705000278722337,Micropolitan,Republican
26083,57.5,3.788104291587711,0.043010752688172046,Micropolitan,Republican
26087,44.1,136.97291867701918,0.04588180864148772,Large fringe metro,Republican
26089,54.1,64.23113198157877,0.028698264651809337,Micropolitan,Democrat
25017,38.5,1995.4746464049779,0.04731734397384317,Large fringe metro,Democrat
25009,40.9,1644.2712847674632,0.0733525225695795,Large fringe metro,Democrat
25011,46.7,101.58629347449283,0.018443171099128526,Micropolitan,Democrat
25015,36.5,307.8471157400646,0.024274835497942186,Medium metro,Democrat
25021,40.9,1832.7892550703061,0.03864012970036406,Large fringe metro,Democrat
25023,42.7,806.0044685147404,0.0470838459060433,Large fringe metro,Democrat
25025,32.8,13698.812461047604,0.06964844298289587,Large central metro,Democrat
25027,40.2,570.6903156787738,0.05089483836768119,Medium metro,Democrat
39001,42,47.06036434022994,0.050769734687192924,Non-core,Republican
39003,39.2,253.9255937345569,0.08263702718040036,Small metro,Republican
39005,40.4,123.9995103824421,0.05386390069975404,Micropolitan,Republican
39007,42.5,138.97990358481357,0.03996966404984934,Micropolitan,Republican
39009,29.6,123.96287267187252,0.05039163236212779,Micropolitan,Democrat
39011,41.1,115.65366854100574,0.079078885011417,Micropolitan,Republican
39013,44.6,124.96485230147515,0.04843827541092079,Small metro,Republican
39015,42.1,89.13157372438282,0.055980401135635134,Large fringe metro,Republican
39017,36.7,836.7266946573855,0.06719233932016078,Large fringe metro,Republican
39019,45.5,67.71521793862358,0.04348639646719808,Medium metro,Republican
39021,41.9,90.24361851248268,0.05132510203027329,Micropolitan,Republican
39023,41.1,342.6776711672185,0.0672862699538974,Small metro,Republican
39025,40,461.3849792577274,0.05957785437270195,Large fringe metro,Republican
39027,39.4,102.81270618339093,0.05688038459707744,Micropolitan,Republican
39029,44.1,191.52803276102358,0.06124051552362162,Micropolitan,Republican
39031,41.3,64.9195877288332,0.047279580465421175,Micropolitan,Republican
39033,43,104.59561302552223,0.06379535990481856,Micropolitan,Republican
39035,40.4,2766.555507440823,0.05672124900282017,Large central metro,Democrat
39039,40.4,93.05146608081296,0.07263751763046544,Micropolitan,Republican
39041,38.8,483.1758419337782,0.0543096523509742,Large fringe metro,Republican
39045,39.2,315.06336050508196,0.06449745471020192,Large fringe metro,Republican
39047,41.4,71.24455135852773,0.06469552001657974,Micropolitan,Republican
39051,41.1,105.3478983756254,0.06538992812492683,Medium metro,Republican
39053,40.7,62.63253907220548,0.05824777549623546,Micropolitan,Republican
39057,38.3,406.08311909373504,0.059035757236583594,Medium metro,Republican
39061,36.8,2048.900691271038,0.06362210298336582,Large central metro,Democrat
39063,39.3,141.00595232066232,0.063120662039508807,Micropolitan,Republican
39067,46.3,35.9977186483621,0.048608713664296074,Non-core,Republican
39069,41.1,66.49356197612008,0.06575807967608994,Non-core,Republican
39073,43.1,66.57516145763843,0.049910873440285206,Large fringe metro,Republican
39075,31.5,104.6568260973152,0.045089659227099024,Non-core,Republican
39079,40.1,77.68782391591499,0.06685450035218816,Micropolitan,Republican
39081,44.8,159.87532178368173,0.05316556575579703,Small metro,Republican
39085,43.8,1014.5363446059188,0.05594510818863041,Large fringe metro,Republican
39087,41.8,128.46000568470427,0.06196771978021978,Medium metro,Republican
39091,41.4,100.65219307713667,0.053217768147345614,Micropolitan,Republican
39095,37.8,1269.7554936125673,0.06108342859262798,Medium metro,Democrat
39097,40.8,94.08100581283527,0.06831872946330778,Large fringe metro,Republican
39101,41.3,161.85660492377832,0.10393365871570863,Micropolitan,Republican
39103,42.2,432.9503460838817,0.0521455581739464,Large fringe metro,Republican
39107,39.6,91.9636472985998,0.09255079006772009,Micropolitan,Republican
39109,41.3,267.57847289583657,0.07146009156599922,Medium metro,Republican
39113,39.2,1164.220974086568,0.06767428053503663,Medium metro,Democrat
39115,44.5,33.14394734372144,0.04745689030575279,Non-core,Republican
39119,40.3,130.02864964164462,0.0639393588705011,Micropolitan,Republican
39121,50.4,35.46375103050143,0.07318455543747786,Non-core,Republican
39125,42.1,45.159528055447375,0.06487291290013826,Non-core,Republican
39129,39.7,116.79110354663392,0.10680059447547789,Large fringe metro,Republican
39131,40.8,61.52424163212178,0.05253248670998228,Non-core,Republican
39135,42.7,96.64415988262765,0.06729432425181102,Non-core,Republican
39137,39.8,71.39450480414693,0.095817247685118,Non-core,Republican
39141,41,111.86075639944615,0.0586953419895451,Micropolitan,Republican
01067,44.4,30.522457602030183,0.0748862708503441,Small metro,Republican
01051,38.7,142.2548465478662,0.07530377257692351,Medium metro,Republican
01055,41.4,193.30647074467532,0.09924010982636607,Small metro,Republican
01061,43.2,46.40540451717827,0.06451854908286132,Small metro,Republican
01073,37.7,607.0827648272582,0.07947136668341433,Large central metro,Democrat
01077,41,140.06311409506313,0.0706788935915523,Small metro,Republican
01083,39.7,184.96115202621243,0.06750989668823018,Medium metro,Republican
01089,38.5,484.2280540480109,0.059551259426051065,Medium metro,Republican
01095,38.8,172.50660035176594,0.09520345859115682,Micropolitan,Republican
01099,43.3,19.277180418059057,0.06225976127857576,Non-core,Republican
01105,36.9,11.826482890693772,0.10374809070614499,Non-core,Democrat
01111,43.4,37.8382986056166,0.057677425228752216,Non-core,Republican
01117,39.3,283.968141358176,0.0718936078628309,Large fringe metro,Republican
01121,41.3,111.49489582290232,0.06395695626240125,Micropolitan,Republican
01127,42.1,82.60660571717908,0.08198402252762389,Large fringe metro,Republican
01133,45.2,38.402481913398674,0.08585386576040782,Non-core,Republican
06003,52.2,1.6306843792600176,0.05647840531561462,Non-core,Democrat
06009,52,44.403969979900616,0.02722335070211075,Non-core,Republican
06015,39.5,27.57129210266506,0.027538478174674693,Micropolitan,Republican
06021,36.4,22.007393061953778,0.06418369817062627,Non-core,Republican
06027,45.8,1.8648218232275884,0.03213083718973496,Non-core,Democrat
06031,31.8,109.67777594279123,0.11242343559408732,Small metro,Republican
06037,36.5,2467.323628947316,0.08060557964347745,Large central metro,Democrat
06083,33.8,163.87597291523363,0.04179783101941195,Medium metro,Democrat
06089,41.5,48.24704682380841,0.04918887760423815,Small metro,Republican
06093,47.8,7.019849007096318,0.024752699882021962,Non-core,Republican
06099,34.1,369.56654405163016,0.07076606412264551,Medium metro,Democrat
06105,52.5,5.067833985517543,0.017130089374379345,Non-core,Republican
06111,38.1,457.99431057046115,0.05365097535916041,Medium metro,Democrat
05001,40.7,17.34302151777787,0.07761385503527903,Non-core,Republican
05005,52.2,75.10492814063551,0.05100055252600476,Micropolitan,Republican
05011,40.6,16.242180463339974,0.09208155523944998,Non-core,Republican
05017,43.3,15.833059978119108,0.1391065830721003,Non-core,Democrat
05023,49.4,44.62881257767304,0.05309376391080895,Non-core,Republican
05027,35.7,29.76696225973774,0.06995307223367396,Micropolitan,Republican
05033,38.6,101.2737154299812,0.07651372790314802,Medium metro,Republican
05039,43.9,9.712516244962034,0.07574822585621721,Non-core,Republican
05045,32.8,190.59612012133002,0.06411439861374273,Medium metro,Republican
05049,48.4,19.532889914330543,0.07478260869565218,Non-core,Republican
05055,38,79.17072383956805,0.09793160748644394,Micropolitan,Republican
05061,39.2,21.722267494252854,0.08752444270629645,Non-core,Republican
05067,39.7,26.434253937217132,0.1692032229185318,Non-core,Republican
19157,40.5,31.905021658160237,0.06515914692958955,Non-core,Republican
19163,38.3,381.3015870086224,0.0816630312190486,Medium metro,Democrat
19169,26.6,172.10390927534425,0.0816749038432264,Small metro,Democrat
19173,42.3,11.084756544974178,0.09277476255088195,Non-core,Republican
19179,39.6,82.06101871970509,0.088833704884725,Micropolitan,Republican
19183,40.3,39.670409700414694,0.08406824728561932,Small metro,Republican
19189,41.8,26.664896994780243,0.103755033242813,Non-core,Republican
19195,43.9,18.60176001994135,0.07161090957947064,Micropolitan,Republican
24001,41.7,161.3167409445792,0.08081519983555047,Small metro,Republican
24009,40.7,435.21070103187157,0.024799801687809188,Large fringe metro,Republican
24015,40.8,299.52450145897416,0.03554591467823572,Large fringe metro,Republican
24021,39.1,411.364307985179,0.042882852379497786,Large fringe metro,Democrat
24027,38.8,1324.2468653889769,0.03456338375707532,Large fringe metro,Democrat
24031,39.2,2154.0069561157857,0.044391988784071724,Large fringe metro,Democrat
24037,36.7,317.1951782744646,0.02949629538483173,Small metro,Republican
26031,51.1,35.761105593530644,0.02908635990460925,Non-core,Republican
26037,40.6,139.69879886269246,0.05070265898291376,Medium metro,Republican
26103,39.1,36.492727114014144,0.054258751533695866,Micropolitan,Democrat
26093,43.5,342.9725691036786,0.04125530005261366,Large fringe metro,Republican
26095,44.7,5.938325501205114,0.03652369357557595,Non-core,Republican
26099,40.9,1839.039955827577,0.05688042786283061,Large fringe metro,Republican
26105,46.2,58.694328648129016,0.034283353985956215,Micropolitan,Republican
26109,48.8,22.5106144474148,0.07212152157263212,Micropolitan,Republican
26111,41.8,161.72256582372896,0.04909334802500778,Small metro,Republican
26115,42.6,281.8038792621118,0.05043634414019857,Small metro,Republican
26117,40.7,94.44388272466928,0.04490047137238418,Large fringe metro,Republican
26121,39.3,348.9169824477994,0.053923241423241425,Small metro,Democrat
26123,42.4,59.576585534443446,0.045720116851414624,Non-core,Republican
26127,43.2,49.54300902511675,0.06118008927566675,Non-core,Republican
26131,58.6,4.436384246774834,0.05278541953232462,Non-core,Republican
26133,43.8,40.42302766528234,0.03713249748809576,Non-core,Republican
26137,44.9,48.719784381763326,0.040293332270535255,Non-core,Republican
26139,35.2,525.6326797924086,0.06308237677245104,Large fringe metro,Republican
26143,56.2,45.12242519561115,0.041732384159597596,Non-core,Republican
26145,40.9,237.44605854202788,0.06570974732279986,Small metro,Democrat
26149,39.6,121.73301812990405,0.06047030637194572,Micropolitan,Republican
26151,45.2,42.19014278800038,0.037551402329418136,Non-core,Republican
26155,42.4,128.24711024908893,0.04423297206802362,Micropolitan,Republican
26159,41.6,124.35602432604135,0.054956540145792265,Medium metro,Republican
26161,33.6,527.3048207978267,0.037498186741453506,Medium metro,Democrat
26165,41.6,59.60615491663285,0.030053752264425505,Micropolitan,Republican
28001,41.4,63.88755887366078,0.06134470851107048,Micropolitan,Democrat
28003,39.7,86.84034684643477,0.06470926885434658,Micropolitan,Republican
28005,47.1,17.42226589224464,0.06878930817610063,Micropolitan,Republican
28007,39.8,24.34020718419836,0.09838448208396221,Non-core,Republican
28009,41.5,18.803967571545847,0.09063562647135757,Large fringe metro,Republican
28011,35.6,35.34433507325142,0.11215104082620622,Micropolitan,Democrat
28013,41.4,22.616093177075008,0.08992914216794813,Non-core,Republican
28015,47.6,15.913034647082384,0.09401880376075215,Micropolitan,Republican
28017,37.8,34.09052786287493,0.09487898982813048,Non-core,Republican
28019,44,19.718027985162244,0.06403104535532379,Non-core,Republican
28021,33.9,18.741714965567386,0.079584017515052,Micropolitan,Democrat
28023,42.2,22.578817820405643,0.07774575728466218,Micropolitan,Republican
28025,39.5,45.44634549313663,0.07329899119982829,Non-core,Democrat
28027,34.8,38.71572227966864,0.09308087891538101,Micropolitan,Democrat
28029,38.5,36.49626836981977,0.07765792442188381,Medium metro,Democrat
28031,37.3,44.318948563661806,0.10261723009814613,Non-core,Republican
28033,36.8,389.0595361904506,0.0810678092318983,Large fringe metro,Republican
28035,32.5,167.70596462461552,0.06833593490109778,Small metro,Republican
28037,42.5,13.609036535845073,0.07830618892508143,Non-core,Republican
28041,40.4,18.98312871886349,0.07368810051736881,Non-core,Republican
28043,39.2,51.23873470316831,0.09191363447223636,Micropolitan,Republican
28047,36.2,363.6781362140834,0.052727194290124194,Medium metro,Republican
28049,34.8,261.8235770134842,0.06253567633550246,Medium metro,Democrat
28053,38.3,18.601511169759103,0.09492614001284522,Non-core,Democrat
28055,42.2,3.239352731480759,0.11360239162929746,Non-core,Democrat
28059,38.8,198.1911757976731,0.06191187557590819,Medium metro,Republican
28063,40.5,13.96333482564681,0.06460055096418733,Non-core,Democrat
